タイプ,楽曲名,☆,時間,Note,Flick,Slide
全タイプ,EVERAFTER,32,2:32,1281,0.14,0.41
全タイプ,スターライトステージ,29,2:08,844,0.17,0.48
パッション,熱情エナモラル,29,2:17,994,0.17,0.37
クール,Starry Night,28,2:07,736,0.12,0.40
キュート,チョコレート？レモネード？どっち？？,29,2:00,815,0.12,0.35
パッション,Orange Sapphire,29,2:06,869,0.08,0.36
クール,Nation Blue,29,2:12,1000,0.09,0.41
キュート,アタシポンコツアンドロイド,29,2:07,987,0.15,0.51
全タイプ,Fantasia for the Girls,29,2:08,758,0.09,0.41
全タイプ,Stage Bye Stage -emon（Tes.） Remix-,28,2:00,673,0.09,0.42
全タイプ,無限L∞PだLOVE♡,29,2:11,985,0.12,0.29
全タイプ,ドレミファクトリー！（U149 VERSION）,29,2:07,946,0.12,0.39
全タイプ,Shine In The Sky☆,30,2:14,1004,0.12,0.21
全タイプ,Star!!,31,2:06,921,0.19,0.50
全タイプ,MOTTO!,31,2:18,1117,0.15,0.17
全タイプ,ココカラミライヘ！,32,1:59,924,0.18,0.37
全タイプ,EVERLASTING,31,1:58,846,0.13,0.42
全タイプ,星環世界,31,2:04,1053,0.04,0.53
全タイプ,Hungry Bambi,31,2:19,988,0.07,0.31
全タイプ,Wish you Happiness!!,30,2:14,984,0.04,0.44
全タイプ,Go Just Go!,30,2:19,874,0.06,0.34
全タイプ,Joker,31,2:14,939,0.04,0.29
全タイプ,夢をのぞいたら,28,2:07,856,0.04,0.54
全タイプ,M@GIC☆,32,2:03,918,0.17,0.37
全タイプ,TRUE COLORS,30,2:06,885,0.10,0.57
全タイプ,Stage Bye Stage,30,2:07,878,0.08,0.41
全タイプ,お願い！シンデレラ（GRAND VERSION）,29,2:06,820,0.07,0.30
全タイプ,Starry-Go-Round,31,2:12,1018,0.04,0.21
全タイプ,イリュージョニスタ！,31,2:06,952,0.07,0.56
全タイプ,Trust me,32,2:13,1032,0.01,0.20
