タイプ,楽曲名,☆,時間,Note,Long
キュート,Fascinate,8,2:07,166,0.35
全タイプ,青空エール,7,2:02,164,0.22
パッション,サイン・オブ・ホープ,8,2:15,178,0.31
全タイプ,無重力シャトル,6,2:09,159,0.29
クール,Needle Light,7,2:09,150,0.53
全タイプ,心もよう,1,2:11,35,0.46
パッション,スパイスパラダイス,6,1:53,103,0.19
全タイプ,義勇忍侠花吹雪,5,2:02,147,0.29
キュート,Palette,5,2:14,122,0.28
全タイプ,Trust me,5,2:13,102,0.51
全タイプ,君への詩,7,2:13,123,0.39
パッション,Sunshine See May,5,2:09,104,0.56
クール,アンデッド・ダンスロック,6,1:59,124,0.31
全タイプ,Starry-Go-Round,7,2:12,154,0.35
クール,Pretty Liar,5,2:07,112,0.54
全タイプ,ドレミファクトリー！,5,2:08,108,0.41
キュート,凸凹スピードスター,8,2:06,175,0.48
全タイプ,ガールズ・イン・ザ・フロンティア,4,1:59,108,0.35
パッション,SUN♡FLOWER,5,2:09,153,0.43
キュート,クレイジークレイジー,8,2:14,181,0.30
クール,エチュードは1曲だけ,7,2:12,172,0.60
全タイプ,銀のイルカと熱い風,7,2:09,120,0.25
パッション,Virgin Love,7,2:10,121,0.26
キュート,トキメキは赤くて甘い,7,2:10,157,0.33
キュート,HARURUNRUN,7,2:13,138,0.88
クール,Packing Her Favorite,7,2:17,206,0.22
全タイプ,Vast world,7,2:08,149,0.35
パッション,ソウソウ,7,2:06,136,0.32
全タイプ,桜の風,7,2:07,111,0.38
キュート,Heart Voice,6,2:08,123,0.47
全タイプ,ツインテールの風,6,2:02,110,0.55
クール,Frost,7,1:58,118,0.17
全タイプ,恋が咲く季節,7,2:06,157,0.34
全タイプ,美に入り彩を穿つ,9,2:04,207,0.32
パッション,Spring Screaming,6,1:57,120,0.27
パッション,14平米にスーベニア,5,2:03,108,0.31
キュート,キラッ！満開スマイル,7,2:10,161,0.30
全タイプ,キミのそばでずっと,5,2:06,96,0.46
キュート,Beat of the Night,7,2:04,127,0.41
パッション,Twin☆くるっ★テール,7,1:57,157,0.24
クール,＃HE4DSHOT,8,2:05,184,0.49
クール,双翼の独奏歌,8,2:01,172,0.22
クール,あこがれステッチ,6,2:02,133,0.41
パッション,冬空プレシャス,8,2:05,145,0.44
全タイプ,Happy New Yeah!,7,2:06,166,0.19
全タイプ,秋風に手を振って,6,2:10,157,0.62
キュート,Halloween♥Code,6,2:06,123,0.54
全タイプ,Take me☆Take you,6,2:03,125,0.43
パッション,私色ギフト,6,2:03,143,0.39
キュート,Kawaii make MY day!,5,1:57,104,0.19
全タイプ,イリュージョニスタ！,8,2:06,173,0.31
全タイプ,リトルリドル,7,2:06,165,0.42
全タイプ,Wonder goes on!!,8,2:06,171,0.41
パッション,モーレツ★世直しギルティ！,8,2:05,219,0.61
全タイプ,With Love,6,2:05,139,0.24
全タイプ,Nothing but You,6,2:13,136,0.32
クール,Nocturne,7,2:08,158,0.28
クール,この空の下,5,2:11,109,0.59
キュート,shabon song,6,2:03,131,0.21
