タイプ,楽曲名,☆,時間,Note,Long,Flick,Slide
キュート,Fascinate,14,2:07,277,0.07,0.13,0.36
全タイプ,青空エール,14,2:02,307,0.06,0.16,0.32
パッション,サイン・オブ・ホープ,16,2:15,395,0.13,0.44,0.21
全タイプ,無重力シャトル,16,2:09,490,0.24,0.17,0.13
クール,Needle Light,17,2:09,401,0.15,0.21,0.06
全タイプ,心もよう,10,2:11,91,0.40,0.08,0.09
パッション,スパイスパラダイス,16,1:53,363,0.19,0.24,0.17
全タイプ,義勇忍侠花吹雪,16,2:02,384,0.08,0.45,0.21
キュート,Palette,16,2:14,344,0.13,0.23,0.10
全タイプ,Trust me,15,2:13,316,0.22,0.22,0.31
全タイプ,君への詩,16,2:13,352,0.05,0.04,0.60
パッション,Sunshine See May,14,2:09,278,0.20,0.09,0.13
クール,アンデッド・ダンスロック,17,1:59,399,0.24,0.28,0.15
全タイプ,Starry-Go-Round,16,2:12,406,0.10,0.15,0.13
クール,Pretty Liar,16,2:07,325,0.22,0.10,0.29
全タイプ,ドレミファクトリー！,14,2:08,400,0.05,0.28,0.15
キュート,凸凹スピードスター,17,2:06,434,0.08,0.24,0.34
全タイプ,ガールズ・イン・ザ・フロンティア,14,1:59,306,0.08,0.18,0.17
パッション,SUN♡FLOWER,15,2:09,403,0.12,0.36,0.06
キュート,クレイジークレイジー,16,2:14,437,0.05,0.20,0.30
クール,エチュードは1曲だけ,16,2:12,388,0.08,0.28,0.20
全タイプ,銀のイルカと熱い風,16,2:09,370,0.04,0.11,0.48
パッション,Virgin Love,16,2:10,424,0.08,0.25,0.25
キュート,トキメキは赤くて甘い,17,2:10,396,0.06,0.12,0.55
キュート,HARURUNRUN,16,2:13,349,0.29,0.14,0.33
クール,Packing Her Favorite,17,2:17,434,0.18,0.17,0.17
全タイプ,Vast world,16,2:08,390,0.04,0.18,0.44
パッション,ソウソウ,16,2:06,390,0.02,0.10,0.48
全タイプ,桜の風,15,2:07,296,0.01,0.06,0.56
キュート,Heart Voice,17,2:08,392,0.07,0.13,0.35
全タイプ,ツインテールの風,16,2:02,341,0.00,0.27,0.40
クール,Frost,15,1:58,268,0.16,0.06,0.29
全タイプ,恋が咲く季節,15,2:06,342,0.04,0.11,0.38
全タイプ,美に入り彩を穿つ,17,2:04,504,0.08,0.17,0.32
パッション,Spring Screaming,16,1:57,323,0.09,0.10,0.44
パッション,14平米にスーベニア,16,2:03,372,0.19,0.18,0.12
キュート,キラッ！満開スマイル,17,2:10,409,0.11,0.19,0.16
全タイプ,キミのそばでずっと,14,2:06,243,0.07,0.14,0.59
キュート,Beat of the Night,15,2:04,328,0.18,0.16,0.18
パッション,Twin☆くるっ★テール,16,1:57,359,0.09,0.20,0.33
クール,＃HE4DSHOT,17,2:05,381,0.06,0.33,0.31
クール,双翼の独奏歌,17,2:01,372,0.10,0.16,0.41
クール,あこがれステッチ,15,2:02,319,0.09,0.13,0.29
パッション,冬空プレシャス,16,2:05,367,0.13,0.14,0.33
全タイプ,Happy New Yeah!,16,2:06,405,0.06,0.36,0.24
全タイプ,秋風に手を振って,15,2:10,317,0.15,0.04,0.39
キュート,Halloween♥Code,17,2:06,443,0.18,0.19,0.37
全タイプ,Take me☆Take you,16,2:03,393,0.02,0.14,0.34
パッション,私色ギフト,15,2:03,313,0.09,0.16,0.41
キュート,Kawaii make MY day!,16,1:57,351,0.13,0.12,0.14
全タイプ,イリュージョニスタ！,18,2:06,460,0.05,0.22,0.39
全タイプ,リトルリドル,17,2:06,410,0.15,0.32,0.41
全タイプ,Wonder goes on!!,17,2:06,426,0.11,0.25,0.33
パッション,モーレツ★世直しギルティ！,17,2:05,417,0.07,0.33,0.23
全タイプ,With Love,16,2:05,329,0.12,0.12,0.28
全タイプ,Nothing but You,17,2:13,415,0.10,0.09,0.43
クール,Nocturne,15,2:08,352,0.25,0.11,0.17
クール,この空の下,14,2:11,269,0.10,0.06,0.36
キュート,shabon song,15,2:03,305,0.04,0.30,0.32
