タイプ,楽曲名,☆,時間,Note,Long,Flick,Slide
全タイプ,お願い！シンデレラ -山本真央樹 Remix-,32,2:22,1530,0.08,0.12,0.13
クール,弾丸サバイバー,29,2:07,264,0.00,0.08,0.52
パッション,O-Ku-Ri-Mo-No Sunday!,30,2:09,554,0.05,0.39,0.00
キュート,HARURUNRUN,27,2:13,332,0.14,0.00,0.10
パッション,スパイスパラダイス,27,1:53,566,0.09,0.22,0.17
全タイプ,M@GIC☆,29,2:03,803,0.15,0.18,0.03
キュート,Halloween♥Code,28,2:06,669,0.16,0.26,0.18
全タイプ,イリュージョニスタ！,28,2:06,652,0.31,0.06,0.02
全タイプ,ハレ晴レユカイ,27,2:10,804,0.08,0.43,0.39
キュート,ギュっとMilky Way,25,2:13,481,0.26,0.05,0.13
キュート,あんずのうた,28,2:06,555,0.10,0.14,0.05
クール,小さな恋の密室事件,27,2:07,486,0.33,0.02,0.05
キュート,秘密のトワレ,28,2:05,423,0.02,0.11,0.22
パッション,ミラクルテレパシー,28,2:11,647,0.13,0.15,0.06
全タイプ,流れ星キセキ,27,2:08,638,0.17,0.10,0.11
全タイプ,Sweet Witches’ Night ～6人目はだぁれ～,27,2:03,396,0.10,0.09,0.34
全タイプ,輝く世界の魔法,25,2:05,410,0.17,0.18,0.11
