曲名,idol_type,種類,category,M+,WI,GR,SM,実装日,解禁条件,title_sorter
お願い！シンデレラ,All,,お願い！シンデレラ,○,,,,2015/09/03,チュートリアルコミュ,おねがい！しんでれら
お願い！シンデレラ（GRAND VERSION）,All,,お願い！シンデレラ,×,×,○,×,2019/06/30,,おねがい！しんでれら2
とどけ！アイドル,All,,CINDERELLA GIRLS,○,,,○,2015/09/03,ストーリーコミュ第1話,とどけ！あいどる
輝く世界の魔法,All,総選挙,CINDERELLA GIRLS,○,○,,○,2015/09/03,プロデューサーランクD（総ファン数3万人）到達,かがやくせかいのまほう
We’re the friends!,All,総選挙,CINDERELLA GIRLS,○,,,○,2015/09/03,パネルミッション1枚目 全ミッション達成,うぃあーざふれんず
メッセージ,All,総選挙,CINDERELLA GIRLS,○,,,○,2015/09/03,ノーマルミッション「PRP100を達成しよう」,めっせーじ
Absolute NIne,All,総選挙,CINDERELLA GIRLS,○,,,,2016/02/29,,あぶそりゅーとないん
つぼみ,All,総選挙,CINDERELLA GIRLS,○,,,,2016/04/19,,つぼみ
EVERMORE,All,周年,CINDERELLA GIRLS,○,,,○,2016/11/30,,えばーもあ
Yes! Party Time!!,All,ゲーム,CINDERELLA GIRLS,○,,,○,2017/06/19,,いえすぱーてぃーたいむ
Take me☆Take you,All,総選挙,CINDERELLA GIRLS,○,,,○,2017/07/31,,ていくみーていくゆー
キミのそばでずっと,All,総選挙,CINDERELLA GIRLS,○,,,○,2017/09/30,,きみのそばでずっと
恋が咲く季節,All,総選挙,CINDERELLA GIRLS,○,,,○,2017/11/30,,こいがさくきせつ
always,All,総選挙,CINDERELLA GIRLS,○,,,○,2018/01/31,,おーるうぇいず
Vast world,All,LIVE,CINDERELLA GIRLS,○,,,○,2018/04/02,,ばすとわーるど
Trust me,All,総選挙,CINDERELLA GIRLS,○,,○,○,2018/12/19,,とらすとみー
君への詩,All,総選挙,CINDERELLA GIRLS,○,,,○,2018/11/30,,きみへのうた
青空エール,All,コラボ,CINDERELLA GIRLS,○,,,,2019/05/31,,あおぞらえーる
Stage Bye Stage,All,LIVE,CINDERELLA GIRLS,○,,○,,2019/07/02,,すてーじばいすてーじ
夢をのぞいたら,All,総選挙,CINDERELLA GIRLS,×,×,○,×,2020/01/01,,ゆめをのぞいたら
夢をのぞいたら（for BEST3 VERSION）,All,総選挙,CINDERELLA GIRLS,○,,,,2020/01/01,,ゆめをのぞいたら（ふぉーべすとすりーばーじょん）
Sun! High! Gold!,All,総選挙,CINDERELLA GIRLS,○,,,,2019/11/30,,さんはいごーるど
オウムアムアに幸運を,Co,,CINDERELLA GIRLS,○,,,,2020/06/30,,おうむあむあにこううんを
Brand new!,All,総選挙,CINDERELLA GIRLS,○,,,,2020/09/30,,ぶらんどにゅー
Never ends,All,総選挙,CINDERELLA GIRLS,○,,,,2020/11/30,,ねばーえんず
なんどでも笑おう,All,周年/合同,CINDERELLA GIRLS,○,,,,2021/01/18,,なんどでもわらおう
Let’s Sail Away!!!,All,総選挙,CINDERELLA GIRLS,○,,,,2021/10/29,,れっつせいるあうぇい
EVERLASTING,All,周年,CINDERELLA GIRLS,○,,○,,2021/11/18,,えばーらすてぃんぐ
キセキの証,All,総選挙,CINDERELLA GIRLS,○,,,,2021/11/29,,きせきのあかし
VOY@GER,Co,合同,CINDERELLA GIRLS,○,,,,2021/12/19,,ぼいじゃー
ココカラミライヘ！,All,総選挙,CINDERELLA GIRLS,○,,○,,2022/01/01,,ここからみらいへ！
ダンス・ダンス・ダンス,Co,ゲーム,CINDERELLA GIRLS,○,,,,2022/11/16,,だんすだんすだんす
Dreamy Anniversary,All,総選挙,CINDERELLA GIRLS,○,,,,2023/01/01,,どりーみーあにばーさりー
Next Chapter,All,総選挙,CINDERELLA GIRLS,○,,,,2023/06/29,,ねくすとちゃぷたー
パジャマジャマ,All,総選挙,CINDERELLA GIRLS,○,,,,2023/09/30,,ぱじゃまじゃま
この恋の解を答えなさい,All,総選挙,CINDERELLA GIRLS,○,,,,2023/11/19,,このこいのこたえをこたえなさい
WINTER and WINDOW,All,総選挙,CINDERELLA GIRLS,○,,,,2023/12/20,,うぃんたーあんどうぃんどう
アイ NEED YOU（FOR WONDERFUL STORY）,All,周年/合同,CINDERELLA GIRLS,○,,,,2024/11/29,,あいにーどゆー（ふぉーわんだふるすとーりー）
アタシポンコツアンドロイド,Cu,jewelries,CINDERELLA GIRLS,○,,○,○,2015/09/25,,あたしぽんこつあんどろいど
Nation Blue,Co,jewelries,CINDERELLA GIRLS,○,,○,○,2015/10/19,,ねいしょんぶるー
Orange Sapphire,Pa,jewelries,CINDERELLA GIRLS,○,,○,○,2015/11/20,,おれんじさふぁいあ
ススメ☆オトメ ～jewel parade～（CUTE VERSION）,Cu,jewelries,CINDERELLA GIRLS,,,,,2015/09/03,,すすめおとめじゅえるぱれーど1
ススメ☆オトメ ～jewel parade～（COOL VERSION）,Co,jewelries,CINDERELLA GIRLS,,,,,2015/09/03,,すすめおとめじゅえるぱれーど2
ススメ☆オトメ ～jewel parade～（PASSION VERSION）,Pa,jewelries,CINDERELLA GIRLS,,,,,2015/09/03,,すすめおとめじゅえるぱれーど3
ススメ☆オトメ ～jewel parade～,All,jewelries,CINDERELLA GIRLS,○,,,,2015/09/03,,すすめおとめじゅえるぱれーど4
パステルピンクな恋,Cu,jewelries,CINDERELLA GIRLS,○,,,○,2016/01/20,,ぱすてるぴんくなこい
オルゴールの小箱,Co,jewelries,CINDERELLA GIRLS,○,,,○,2016/02/18,,おるごーるのこばこ
